query_id,video_id,video_title,query,query_type,difficulty,grounding,source,notes,split
MX7ymkYGiZ0_4,MX7ymkYGiZ0,The Wavelet Transform | Introduction & Example Code,time freq tradeoff in wavelet transform,conceptual,medium,"Trade-off explanation — ""happy medium...between those two""",synthetic,,validation
MX7ymkYGiZ0_5,MX7ymkYGiZ0,The Wavelet Transform | Introduction & Example Code,does picking sym4 change how well i find peaks,conceptual,hard,"Wavelets for signals — ""choose your wavelet in a clever way such that it kind of matches the signal""",synthetic,,validation
BOPOX_mTS0g_0,BOPOX_mTS0g,Causal Effects | An introduction,outcome vs treatment vs covariate variables,exact,medium,"Variable Types — ""treatment variables and so these are the variables that we change""",synthetic,,validation
BOPOX_mTS0g_1,BOPOX_mTS0g,Causal Effects | An introduction,ITE and ATT diff?,exact,hard,"Individual Treatment Effect — ""call this individual treatment effect or ite for short as the difference""",synthetic,,validation
BOPOX_mTS0g_2,BOPOX_mTS0g,Causal Effects | An introduction,difference between RCTs and observational data in causal studies,conceptual,medium,"Observational Data — ""observational data this is just data that we can passively observe""",synthetic,,validation
BOPOX_mTS0g_3,BOPOX_mTS0g,Causal Effects | An introduction,counterfatual is just guess right? how accurate can it get?,conceptual,hard,"Counterfactuals — ""how are we supposed to deal with all these counter factual terms""",synthetic,,validation
BOPOX_mTS0g_4,BOPOX_mTS0g,Causal Effects | An introduction,how to calculate average treatment effect in randomized controlled trial,procedural,grounded,"RCT Computation — ""compute the average outcome for each of these two groups""",synthetic,,validation
BOPOX_mTS0g_5,BOPOX_mTS0g,Causal Effects | An introduction,"include multiple covariants, will affect causal results?",procedural,medium,"Multiple Variables in Covariates — ""covariates and then this could be age weight exercise level""",synthetic,,validation
0iFEtnHyzE0_0,0iFEtnHyzE0,Fine-tuning EXPLAINED in 40 sec #generativeai,definition of fine-tuning in machine learning,exact,grounded,"Fine-tuning analogy — ""fine-tuning is when you take a pre-trained machine learning model""",synthetic,,validation
0iFEtnHyzE0_1,0iFEtnHyzE0,Fine-tuning EXPLAINED in 40 sec #generativeai,is chat gtp a finetunned model or something else?,exact,hard,"Refined model examples — ""refined Diamond that you would would actually buy is going to be something like instruct GPT or chat GPT""",synthetic,,validation
0iFEtnHyzE0_2,0iFEtnHyzE0,Fine-tuning EXPLAINED in 40 sec #generativeai,why do we need to fine-tune a pre-trained model?,conceptual,grounded,"Analogy explanation — ""fine-tuning is like taking a raw diamond... and refining it into something more valuable""",synthetic,,validation
0iFEtnHyzE0_3,0iFEtnHyzE0,Fine-tuning EXPLAINED in 40 sec #generativeai,so fine tuning lets u change the models behavoir for tasks?,conceptual,medium,"Adaptation for purpose — ""adapt it for a particular use case""",synthetic,,validation
0iFEtnHyzE0_4,0iFEtnHyzE0,Fine-tuning EXPLAINED in 40 sec #generativeai,how to make a specialized gpt chatbot using finetune,procedural,medium,"Raw/pre-trained to refined — ""taking a raw diamond as we see on the left here and refining it""",synthetic,,validation
0iFEtnHyzE0_5,0iFEtnHyzE0,Fine-tuning EXPLAINED in 40 sec #generativeai,training my own instructgpt process error: model runs forever,procedural,hard,"Adapting models — ""adapt it for a particular use case""",synthetic,,validation
0cf7vzM_dZ0_0,0cf7vzM_dZ0,Prompt Engineering: How to Trick AI into Solving Your Problems,definition of prompt engineering,exact,grounded,"Prompt engineering definition — ""prompt engineering as the means by which llms are programmed""",synthetic,,validation
0cf7vzM_dZ0_1,0cf7vzM_dZ0,Prompt Engineering: How to Trick AI into Solving Your Problems,prompt engineering heuristic not science?,exact,medium,"Prompt engineering heuristics — ""it's a collection of heuristics and people throwing things against the wall""",synthetic,,validation
0cf7vzM_dZ0_2,0cf7vzM_dZ0,Prompt Engineering: How to Trick AI into Solving Your Problems,when do i need better prompts vs finetune model,conceptual,medium,"Fine-tuned vs base models — ""if you're working with a base model like gpt3 you're going to have to do a lot more work on the prompt engineering side""",synthetic,,validation
0cf7vzM_dZ0_3,0cf7vzM_dZ0,Prompt Engineering: How to Trick AI into Solving Your Problems,why does my prompt sometimes fail if i have too much info in,conceptual,hard,"Output parsers, context window — ""not all pertinent information may fit into the context window""",synthetic,,validation
0cf7vzM_dZ0_4,0cf7vzM_dZ0,Prompt Engineering: How to Trick AI into Solving Your Problems,automatic grading with python prompt example,procedural,grounded,"Building automatic grader — ""you write the prompt...your task is to determine whether the student's answer is correct""",synthetic,,validation
0cf7vzM_dZ0_5,0cf7vzM_dZ0,Prompt Engineering: How to Trick AI into Solving Your Problems,"my output parser returns false alwasys, what did i miss",procedural,hard,"Output parsers — ""I have it returned a Boolean of whether or not the word wrong is in the text...""",synthetic,,validation
4RAvJt3fWoI_0,4RAvJt3fWoI,"3 Ways to Make a Custom AI Assistant | RAG, Tools, & Fine-tuning",Difference between AI chatbot and assistant,conceptual,grounded,"Chatbot vs. Assistant — ""a chatbot is an AI you can have a conversation with while an AI assistant is essentially a chatbot that can use tools""",synthetic,,validation
4RAvJt3fWoI_1,4RAvJt3fWoI,"3 Ways to Make a Custom AI Assistant | RAG, Tools, & Fine-tuning",Why can't I just embed the assistant on my site?,conceptual,medium,"Deployment — ""don't have to worry about like deploying your assistant into production because they have this built-in way to do it""",synthetic,,validation
4RAvJt3fWoI_2,4RAvJt3fWoI,"3 Ways to Make a Custom AI Assistant | RAG, Tools, & Fine-tuning",finetune or prompt tricking for custom style?,conceptual,hard,"Fine-tune vs. prompt engineering — ""you want to fine tune when it's easier to show not tell""",synthetic,,validation
4RAvJt3fWoI_3,4RAvJt3fWoI,"3 Ways to Make a Custom AI Assistant | RAG, Tools, & Fine-tuning",How do I connect to OpenAI Assistants API using python?,procedural,grounded,"Code setup — ""set up the client so set up communication with the opening eye API so you just do that oneline in code""",synthetic,,validation
4RAvJt3fWoI_4,4RAvJt3fWoI,"3 Ways to Make a Custom AI Assistant | RAG, Tools, & Fine-tuning",how uploade many documents to rag for faster runs?,procedural,medium,"File upload — ""bulk file upload available in the playground""",synthetic,,validation
4RAvJt3fWoI_5,4RAvJt3fWoI,"3 Ways to Make a Custom AI Assistant | RAG, Tools, & Fine-tuning","wait_for_assistant stuck at client.beta.threads.runs.retrieve, no error? help",procedural,hard,"Thread issues — ""sometimes and randomly the function 'wait_for_assistant' freezes""",synthetic,,validation
4QHg8Ix8WWQ_0,4QHg8Ix8WWQ,Fine-Tuning BERT for Text Classification (w/ Example Code),what is masked language modeling in bert?,exact,grounded,"BERT training tasks — ""Bert was trained on two tasks the first task is masked language modeling""",synthetic,,validation
4QHg8Ix8WWQ_1,4QHg8Ix8WWQ,Fine-Tuning BERT for Text Classification (w/ Example Code),what does parameter freezing mean in transfer learning?,exact,medium,"Base model freezing — ""freeze all the base model parameters to just break this down""",synthetic,,validation
4QHg8Ix8WWQ_2,4QHg8Ix8WWQ,Fine-Tuning BERT for Text Classification (w/ Example Code),how do you avoid overfitting when fine-tuning bert?,conceptual,grounded,"Overfitting avoidance — ""validation loss is a little rocky at times but it eventually goes down""",synthetic,,validation
4QHg8Ix8WWQ_3,4QHg8Ix8WWQ,Fine-Tuning BERT for Text Classification (w/ Example Code),using smaller models vs huge llms for common nlp taks,conceptual,medium,"Hardware resource requirements — ""this is going to be pretty computationally expensive and potentially unnecessary""",synthetic,,validation
4QHg8Ix8WWQ_4,4QHg8Ix8WWQ,Fine-Tuning BERT for Text Classification (w/ Example Code),is BERT a LLM like chatgpt or only for text tasks?,conceptual,hard,"BERT vs GPT modeling — ""models like GPT which don't do masked language modeling but rather causal language modeling""",synthetic,,validation
4QHg8Ix8WWQ_5,4QHg8Ix8WWQ,Fine-Tuning BERT for Text Classification (w/ Example Code),"bert too slow to train on cpu, how to make faster",procedural,hard,"Batch size hardware — ""batch size as eight and number of epoch as 10""",synthetic,,validation
6VcXukJuGA0_0,6VcXukJuGA0,LLM in a Loop: Automate feedback with evals,What are the three types of evals for LLM feedback loops?,exact,grounded,"Types of evals — ""three types of evals we can use when generating this automated feedback in an LLM loop""",synthetic,,validation
6VcXukJuGA0_1,6VcXukJuGA0,LLM in a Loop: Automate feedback with evals,is reward hacking like when a model just spams for high metrics?,exact,hard,"Reward hacking — ""tweets will become more and more engaging, but also they become more and more toxic""",synthetic,,validation
6VcXukJuGA0_2,6VcXukJuGA0,LLM in a Loop: Automate feedback with evals,"picking evals for LLM loops, what should I focus on?",conceptual,medium,"Eval choice tradeoffs — ""a critical point in picking your evaluations for an LLM loop is ensuring that the eval are highly correlated with your desired outcome""",synthetic,,validation
6VcXukJuGA0_3,6VcXukJuGA0,LLM in a Loop: Automate feedback with evals,can optimizing for feedback in loops make LLMs act weird or bad?,conceptual,hard,"Limitations section — ""it's not going to consider anything else. So unless you explicitly have a penalty for toxicity in this feedback loop, the Twitter agent is going to ignore toxicity""",synthetic,,validation
6VcXukJuGA0_4,6VcXukJuGA0,LLM in a Loop: Automate feedback with evals,Run LLM feedback loop script locally,procedural,grounded,"Python code structure — ""Now that we've defined all the evals, we can run this whole thing in a loop. The code is pretty straightforward for running these LLM loops""",synthetic,,validation
6VcXukJuGA0_5,6VcXukJuGA0,LLM in a Loop: Automate feedback with evals,"how to generate automatic feedback msg, not just copy errors",procedural,medium,"Prompt generation — ""generate a new prompt... entirely rule-based function that'll generate a new prompt based on the test results""",synthetic,,validation
3JsgtpX_rpU_0,3JsgtpX_rpU,3 AI Use Cases (that are not a chatbot),explain how text embeddings turn resume info into numbers,exact,medium,"Text embeddings description — ""takes a chunk of text and translates it into a meaningful set of numbers""",synthetic,,validation
3JsgtpX_rpU_1,3JsgtpX_rpU,3 AI Use Cases (that are not a chatbot),why are llms unpredictable for business applications?,conceptual,grounded,"LLM challenges — ""large language models are inherently unpredictable""",synthetic,,validation
3JsgtpX_rpU_2,3JsgtpX_rpU,3 AI Use Cases (that are not a chatbot),saving money on api calls vs model accuracy ai business tasks typo,conceptual,hard,"Different models used — ""GPT 40 mini ... significantly faster ... about 20 times cheaper""",synthetic,,validation
GgLaP4Des1Q_0,GgLaP4Des1Q,Independent Component Analysis (ICA) | EEG Analysis Example Code,ica statisitcal independence definition,exact,medium,"ICA assumptions — ""independent components are statistically independent""",synthetic,,validation
GgLaP4Des1Q_1,GgLaP4Des1Q,Independent Component Analysis (ICA) | EEG Analysis Example Code,why non-gausian data needed for ica eeg,exact,hard,"ICA key assumptions — ""independent components are non-gaussian""",synthetic,,validation
GgLaP4Des1Q_2,GgLaP4Des1Q,Independent Component Analysis (ICA) | EEG Analysis Example Code,difference between pca and ica results in eeg,conceptual,grounded,"PCA vs ICA — ""pca typically compresses information... ica separates information""",synthetic,,validation
GgLaP4Des1Q_3,GgLaP4Des1Q,Independent Component Analysis (ICA) | EEG Analysis Example Code,do we always pca first before independent component analise?,conceptual,hard,"Why PCA before ICA — ""advantageous to apply pca to your data set before applying ica""",synthetic,,validation
GgLaP4Des1Q_4,GgLaP4Des1Q,Independent Component Analysis (ICA) | EEG Analysis Example Code,how to remove blink artifact from eeg using ica,procedural,grounded,"Workflow steps — ""use pca to kind of clump that down to just 21 variables and... applied ica to those 21""",synthetic,,validation
GgLaP4Des1Q_5,GgLaP4Des1Q,Independent Component Analysis (ICA) | EEG Analysis Example Code,restoring eeg original data after ica/pca?,procedural,medium,"Autoscaling & reconstruct — ""reconstruct our original 64 variables by going backwards in pca""",synthetic,,validation
Nm_mmRTpWLg_0,Nm_mmRTpWLg,LLM Workflows: From Automation to AI Agents (with Python),LLM workflow definition in simple terms?,exact,grounded,"LLM workflows definition — ""I'll define it as a set of steps that generate a desired result.""",synthetic,,validation
Nm_mmRTpWLg_1,Nm_mmRTpWLg,LLM Workflows: From Automation to AI Agents (with Python),agentic workflow vs rule based whats the main difference?,exact,medium,"Agentic spectrum — ""thinking of agency on a spectrum""",synthetic,,validation
Nm_mmRTpWLg_2,Nm_mmRTpWLg,LLM Workflows: From Automation to AI Agents (with Python),is code or prompt better for making the computer do stuff,exact,hard,"LLM vs ML vs code — ""Software 1.0 is just code...more recently...software 3.0 which is basically large language models.""",synthetic,,validation
Nm_mmRTpWLg_3,Nm_mmRTpWLg,LLM Workflows: From Automation to AI Agents (with Python),What are the weak points of LLM workflows?,conceptual,grounded,"Strengths/weaknesses section — ""LLMs aren't a cure all. They have their strengths and they also have their weaknesses.""",synthetic,,validation
Nm_mmRTpWLg_4,Nm_mmRTpWLg,LLM Workflows: From Automation to AI Agents (with Python),when should i pick llms over just writing code manually?,conceptual,medium,"Predictability/flexibility tradeoffs — ""traditional code is the best when predictability is important...LLMs...most flexible""",synthetic,,validation
Nm_mmRTpWLg_5,Nm_mmRTpWLg,LLM Workflows: From Automation to AI Agents (with Python),llm chain feedback loops open ended flow - what does that mean?,conceptual,hard,"Evaluator optimizer mention — ""open-ended flows...evaluator optimizer paradigm""",synthetic,,validation
B6a64wdD7Zs_0,B6a64wdD7Zs,An Introduction to Decision Trees | Gini Impurity & Python Code,decision tree definition simple terms,exact,grounded,"Decision Tree basics — ""a decision tree is something we can use to make predictions""",synthetic,,validation
B6a64wdD7Zs_1,B6a64wdD7Zs,An Introduction to Decision Trees | Gini Impurity & Python Code,what is gini impurity formula,exact,medium,"Gini impurity — ""genie impurity of a sample s... is equal to 1 minus...""",synthetic,,validation
B6a64wdD7Zs_2,B6a64wdD7Zs,An Introduction to Decision Trees | Gini Impurity & Python Code,why is overfitting a problem for decision trees,conceptual,grounded,"Overfitting/Hyperparameters — ""hyper parameters are values that constrain the growth of our decision tree""",synthetic,,validation
B6a64wdD7Zs_3,B6a64wdD7Zs,An Introduction to Decision Trees | Gini Impurity & Python Code,does splitting on every value always better or not?,conceptual,hard,"Decision tree splits — ""we can just go through one record at a time and split based on each value we observe...""",synthetic,,validation
B6a64wdD7Zs_4,B6a64wdD7Zs,An Introduction to Decision Trees | Gini Impurity & Python Code,how to oversmaple data with smote typo,procedural,medium,"SMOTE balancing code — ""just one line of code we can use smote to over sample the minority class""",synthetic,,validation
B6a64wdD7Zs_5,B6a64wdD7Zs,An Introduction to Decision Trees | Gini Impurity & Python Code,train test model split keeps giving error in pandas,procedural,hard,"Training/testing split — ""we use the 80 20 split so 80 of the data is used for training 20 is used for testing""",synthetic,,validation
6qCrvlHRhcM_0,6qCrvlHRhcM,How to Build ML Solutions (w/ Python Code Walkthrough),Difference between rules in traditional software and machine learning,exact,grounded,"Traditional vs ML dev — ""rules and the logic...are explicitly written""",synthetic,,validation
6qCrvlHRhcM_1,6qCrvlHRhcM,How to Build ML Solutions (w/ Python Code Walkthrough),embedding vector for transcript is always 384 or 768?,exact,medium,"Text embedding dimensions — ""embedding has 768 Dimensions""",synthetic,,validation
6qCrvlHRhcM_2,6qCrvlHRhcM,How to Build ML Solutions (w/ Python Code Walkthrough),Why is machine learning model development considered iterative?,conceptual,grounded,"Experimentation feedback loops — ""tweak some parameters and you evaluate it again""",synthetic,,validation
6qCrvlHRhcM_3,6qCrvlHRhcM,How to Build ML Solutions (w/ Python Code Walkthrough),"if I summarize before embedding, does that mean less noise or missing info?",conceptual,hard,"Combining embeddings — ""embed the title and the transcript...combine them""",synthetic,,validation
6qCrvlHRhcM_4,6qCrvlHRhcM,How to Build ML Solutions (w/ Python Code Walkthrough),setting correct threshold for search result in semantic system,procedural,medium,"Distance threshold — ""distance of 40 or less away from the query""",synthetic,,validation
6qCrvlHRhcM_5,6qCrvlHRhcM,How to Build ML Solutions (w/ Python Code Walkthrough),"polers scanparet failes on huge file, how fix memory issuw",procedural,hard,"Data too big for RAM — ""when the size of your data set is larger than the amount of memory you have""",synthetic,,validation
N3vHJcHBS-w_0,N3vHJcHBS-w,Model Context Protocol (MCP) Explained in 20 Minutes,what is Model Context Protocol,exact,grounded,"MCP basics — ""MCP is like the USBC port of AI applications""",synthetic,,validation
N3vHJcHBS-w_1,N3vHJcHBS-w,Model Context Protocol (MCP) Explained in 20 Minutes,mcp server primitives prompt vs resource,exact,medium,"Server primitives — ""prompt templates for reusable prompts, resources for static data lookups, and tools for arbitrary functions""",synthetic,,validation
N3vHJcHBS-w_2,N3vHJcHBS-w,Model Context Protocol (MCP) Explained in 20 Minutes,how mcp sends promt to llm,exact,hard,"Prompt integration — ""prompt templates... dynamically plug in user-specific information""",synthetic,,validation
N3vHJcHBS-w_3,N3vHJcHBS-w,Model Context Protocol (MCP) Explained in 20 Minutes,why use mcp instead of building custom integration for every app,conceptual,grounded,"MCP benefits — ""allows you to create this tool set just one time and then dynamically port it""",synthetic,,validation
N3vHJcHBS-w_4,N3vHJcHBS-w,Model Context Protocol (MCP) Explained in 20 Minutes,moving my assistant tools from vscode to other IDEs,conceptual,medium,"Portable toolsets — ""dynamically port it to whatever IDE you like""",synthetic,,validation
N3vHJcHBS-w_5,N3vHJcHBS-w,Model Context Protocol (MCP) Explained in 20 Minutes,difference mcp server and clinet which runs the tools?,conceptual,hard,"Server-client confusion — ""MCP client can handle that... MCP server is independent system from the AI application""",synthetic,,validation
-AA0xw5xeQU_0,-AA0xw5xeQU,5 AI Projects For People in a Hurry (w/ Python),How do you extract video ID for YouTube to blog tool?,exact,grounded,"Content creation project — ""extract the YouTube video ID from the video link""",synthetic,,validation
-AA0xw5xeQU_1,-AA0xw5xeQU,5 AI Projects For People in a Hurry (w/ Python),text embedding mean what in vector db context,exact,medium,"RAG project — ""vectors are so-called text embeddings which are numerical representations""",synthetic,,validation
-AA0xw5xeQU_2,-AA0xw5xeQU,5 AI Projects For People in a Hurry (w/ Python),Is ollama actually an LLM or just a wrapper thing,exact,hard,"LLM local chat — ""set up an llm chat system on your local machine""",synthetic,,validation
-AA0xw5xeQU_3,-AA0xw5xeQU,5 AI Projects For People in a Hurry (w/ Python),make a gradio chat interface for local pdf QAs,procedural,grounded,"Local llm chat system — ""create a simple chat UI using gradio""",synthetic,,validation
-AA0xw5xeQU_4,-AA0xw5xeQU,5 AI Projects For People in a Hurry (w/ Python),survey clustering responses python steps?,procedural,medium,"Clustering survey data — ""cluster the responses based on similarity using K means""",synthetic,,validation
-AA0xw5xeQU_5,-AA0xw5xeQU,5 AI Projects For People in a Hurry (w/ Python),"Can't upload jsonl file to open AI finetune, getting format errror",procedural,hard,"Fine-tuning — ""save the data in the Json L4 format expected by open ai's fine-tuning API""",synthetic,,validation
4vvoIA0MalQ_0,4vvoIA0MalQ,Dimensionality Reduction & Segmentation with Decision Trees | Python Code,feature importance in tree ensemble models definition,exact,grounded,"Feature importance ranking — ""take the feature importance ranking from our tree Ensemble model""",synthetic,,validation
4vvoIA0MalQ_1,4vvoIA0MalQ,Dimensionality Reduction & Segmentation with Decision Trees | Python Code,"tree ensembles explaination, why so hard to see inside?",exact,hard,"Black box models — ""tree ensembles are a bit of a black box""",synthetic,,validation
4vvoIA0MalQ_2,4vvoIA0MalQ,Dimensionality Reduction & Segmentation with Decision Trees | Python Code,why use fewer features in a model?,conceptual,grounded,"Occam's razor — ""simpler models are better""",synthetic,,validation
4vvoIA0MalQ_3,4vvoIA0MalQ,Dimensionality Reduction & Segmentation with Decision Trees | Python Code,hand-picked bins vs tree buckets differences,conceptual,medium,"Segmentation tradeoffs — ""just us eyeballing it and it'll be interesting to compare this intuition to what the decision tree is going to spit out""",synthetic,,validation
4vvoIA0MalQ_4,4vvoIA0MalQ,Dimensionality Reduction & Segmentation with Decision Trees | Python Code,how do you split 1 feature into multiple labels with trees?,procedural,medium,"Segmenting with decision trees — ""train another decision tree model but now instead of using the three predictors...just use the one variable we care about""",synthetic,,validation
4vvoIA0MalQ_5,4vvoIA0MalQ,Dimensionality Reduction & Segmentation with Decision Trees | Python Code,"percent alive column, how is it calcualted?",procedural,hard,"Data prep for segmentation — ""reshuffling the data to have only unique age values""",synthetic,,validation
8z-WPpP1_-8_0,8z-WPpP1_-8,AI for Business: A (non-technical) introduction,What does AI mean in simple terms?,exact,grounded,"AI definition — ""AI or artificial intelligence is simply a computer's ability to solve problems and make decisions""",synthetic,,validation
8z-WPpP1_-8_1,8z-WPpP1_-8,AI for Business: A (non-technical) introduction,is lern machine just pattern recog?,exact,hard,"ML definition — ""machine learning is just a computer's ability to learn by example""",synthetic,,validation
8z-WPpP1_-8_2,8z-WPpP1_-8,AI for Business: A (non-technical) introduction,mental models vs computer models for desicions,conceptual,medium,"Models in intelligence — ""models allow us to make predictions""",synthetic,,validation
8z-WPpP1_-8_3,8z-WPpP1_-8,AI for Business: A (non-technical) introduction,steps to get started putting AI into my business,procedural,grounded,"Rules of thumb — ""start simple fast and easy and build sophistication as needed""",synthetic,,validation
8z-WPpP1_-8_4,8z-WPpP1_-8,AI for Business: A (non-technical) introduction,improve client emails with 70 percent AI trick?,procedural,medium,"Spam filter example — ""even a 70% reduction in spam emails is very helpful""",synthetic,,validation
8z-WPpP1_-8_5,8z-WPpP1_-8,AI for Business: A (non-technical) introduction,wont AI stuff just need huge team or expensve servers,procedural,hard,"Project scale — ""I have a small Consulting business"" and ""if you have a larger Enterprise…maybe building the AI solution makes sense""",synthetic,,validation
-BUs1CPHKfU_0,-BUs1CPHKfU,How to Improve LLMs with Tools (ft. OpenAI Agents SDK),What are the basic steps needed to enable LLMs to use tools?,exact,grounded,"Tool use basics — ""LLMs on their own cannot use tools. They are simply text generators.""",synthetic,,validation
-BUs1CPHKfU_1,-BUs1CPHKfU,How to Improve LLMs with Tools (ft. OpenAI Agents SDK),agents SDK agent structure,exact,medium,"Agents SDK setup — ""Openai in their agents SDK defines an agent as an LLM equipped with instructions and tools.""",synthetic,,validation
-BUs1CPHKfU_2,-BUs1CPHKfU,How to Improve LLMs with Tools (ft. OpenAI Agents SDK),Does using @function_tool always work? Missing when API settings change?,exact,hard,"Function tool decorator — ""you can easily turn any Python function into a tool by adding this function tool decorator to it.""",synthetic,,validation
-BUs1CPHKfU_3,-BUs1CPHKfU,How to Improve LLMs with Tools (ft. OpenAI Agents SDK),agentic workflows versus regular software logic,conceptual,grounded,"Traditional software vs agents — ""the key difference between traditional software and building agentic systems""",synthetic,,validation
-BUs1CPHKfU_4,-BUs1CPHKfU,How to Improve LLMs with Tools (ft. OpenAI Agents SDK),When would you need to custom-train for complicated tool use?,conceptual,medium,"Fine-tuning for tool use — ""gather a bunch of examples of the complicated andor specialized tool calls and use that to fine-tune the LLM.""",synthetic,,validation
-BUs1CPHKfU_5,-BUs1CPHKfU,How to Improve LLMs with Tools (ft. OpenAI Agents SDK),"why are agents sometimes so unpredictable, is this a llm limit or tools mix up?",conceptual,hard,"Predictability limitations — ""the limitation is that these systems may behave in unpredictable ways.""",synthetic,,validation
889wd07LcFs_0,889wd07LcFs,"How I Code with Python, Cursor, and Claude Code",What is UV in the context of Python projects?,exact,grounded,"UV intro — ""super fast Python package and project manager""",synthetic,,validation
